"train_query","train_result"
Sensasi ketike peluru menembus daging dibadan tulang tengkorak dan membuat otak kita berceceran,Sensasi ketike peluru menembus daging dibadan menembus tulang menembus tengkorak dan membuat otak kita berceceran
Sensasi ketike peluru menembus daging dibadan tulangmenembus tengkorak dan membuat otak kita berceceran,Sensasi ketike peluru menembus daging dibadan menembus tulangmenembus tengkorak dan membuat otak kita berceceran
Sensasi ketike peluru menembus daging dibadanmenembus tulangmenembus tengkorak dan membuat otak kita berceceran,Sensasi ketike peluru menembus daging dibadanmenembus tulangmenembus tengkorak dan membuat otak kita berceceran
siapa tau ada yang minat nanti pulang ingin ngadap tahun baru tok,Sape tau ade yang minat kalak balik nak ngadap taon baru tok
Sini lha,Sini lha
Tbs,Tbs
tebute,tebute
tidak boleh,tidak boleh
Tukang kecap tak jadi beli tahu,Tukang kecap tak jadi beli tahu
Tukang tahu tak jadi beli tempe,Tukang tahu tak jadi beli tempe
vagina kamu,Pepek kamu
VIral untuk keluarga jahanam manusia cam gtok e,VIral kan insanak jahanam manusie cam gtok e
wai,wai
Wajah idaman yang membuat mimisan cewek-cewek kini akan kembali ke tanah air,Wajah idaman yang membuat mimisan cewek-cewek kini akan kembali ke tanah air
woi kemane,woi kemane
ya mengapa kok ungkapan abstrak untuk menggambarkan sesuatu,iye ngape tang anok
yee jope,yee jope
yo video nyemaseh sedang kau bilang hoak ke lol,yo video nyemaseh agek kau bilang hoak ke lol
