input_text,target_text
<id> kasur,<sambas> seduni
<sambas> seduni,<id> kasur
<id> kupas,<sambas> kussak
<sambas> kussak,<id> kupas
<id> kenangan,<sambas> kanangan
<sambas> kanangan,<id> kenangan
<id> susu,<sambas> susu
<sambas> susu,<id> susu
<id> buah dada,<sambas> nennen
<sambas> nennen,<id> buah dada
<id> buah dada,<sambas> susu
<sambas> susu,<id> buah dada
<id> payudara,<sambas> nennen
<sambas> nennen,<id> payudara
<id> payudara,<sambas> susu
<sambas> susu,<id> payudara
<id> mempersalahkan,<sambas> masalahkan
<sambas> masalahkan,<id> mempersalahkan
<id> pepaya,<sambas> battek
<sambas> battek,<id> pepaya
<id> pepaya,<sambas> batte'
<sambas> batte',<id> pepaya
<id> mondar-mandir mengelilingi sesuatu,<sambas> kelintau-kelintau
<sambas> kelintau-kelintau,<id> mondar-mandir mengelilingi sesuatu
<id> undangan pernikahan,<sambas> penggelan
<sambas> penggelan,<id> undangan pernikahan
<id> kondangan,<sambas> penggelan
<sambas> penggelan,<id> kondangan
<id> berhenti merokok,<sambas> beranti merokok
<sambas> beranti merokok,<id> berhenti merokok
<id> memancarkan,<sambas> mancarkan
<sambas> mancarkan,<id> memancarkan
<id> terlungkup,<sambas> tingkap
<sambas> tingkap,<id> terlungkup
<id> tertinggal,<sambas> ketinggalan
<sambas> ketinggalan,<id> tertinggal
<id> korek api kayu,<sambas> malirang
<sambas> malirang,<id> korek api kayu
<id> kerang,<sambas> kappah
<sambas> kappah,<id> kerang
<id> bingung,<sambas> bingngong
<sambas> bingngong,<id> bingung
<id> dedak,<sambas> daddak
<sambas> daddak,<id> dedak
<id> lauk pauk,<sambas> laok paok
<sambas> laok paok,<id> lauk pauk
<id> berlubang,<sambas> belubang
<sambas> belubang,<id> berlubang
<id> berlubang,<sambas> passok
<sambas> passok,<id> berlubang
<id> sadar,<sambas> sadar
<sambas> sadar,<id> sadar
<id> sadar,<sambas> maddas
<sambas> maddas,<id> sadar
<id> pura-pura tidur,<sambas> mlandok
<sambas> mlandok,<id> pura-pura tidur
<id> pura-pura,<sambas> purak-purak
<sambas> purak-purak,<id> pura-pura
<id> pura pura,<sambas> purak purak
<sambas> purak purak,<id> pura pura
<id> penglihatan yang kurang baik,<sambas> julau
<sambas> julau,<id> penglihatan yang kurang baik
<id> kalian,<sambas> kitak
<sambas> kitak,<id> kalian
<id> lurus,<sambas> bujor
<sambas> bujor,<id> lurus
<id> genit,<sambas> birrah
<sambas> birrah,<id> genit
<id> ampas minyak kelapa,<sambas> taek lalla'
<sambas> taek lalla',<id> ampas minyak kelapa
<id> tertidur,<sambas> tetidok
<sambas> tetidok,<id> tertidur
<id> sembrono,<sambas> da'an semanggah
<sambas> da'an semanggah,<id> sembrono
<id> sekarang,<sambas> kinitok
<sambas> kinitok,<id> sekarang
<id> dering,<sambas> darring
<sambas> darring,<id> dering
<id> burung elang,<sambas> bendaol
<sambas> bendaol,<id> burung elang
<id> burung elang,<sambas> penaol
<sambas> penaol,<id> burung elang
<id> daftar,<sambas> daptar
<sambas> daptar,<id> daftar
<id> di tinggal,<sambas> kanak tinggalkan
<sambas> kanak tinggalkan,<id> di tinggal
<id> sembat,<sambas> hambat
<sambas> hambat,<id> sembat
<id> mobil,<sambas> oto
<sambas> oto,<id> mobil
<id> bodoh,<sambas> bodo bale
<sambas> bodo bale,<id> bodoh
<id> bodoh,<sambas> bodo
<sambas> bodo,<id> bodoh
<id> masih kenyang,<sambas> sabol
<sambas> sabol,<id> masih kenyang
<id> masih kenyang,<sambas> maseh kannyang
<sambas> maseh kannyang,<id> masih kenyang
<id> sampan kecil,<sambas> ajjong
<sambas> ajjong,<id> sampan kecil
<id> perahu,<sambas> ajjong
<sambas> ajjong,<id> perahu
<id> wc,<sambas> kakus
<sambas> kakus,<id> wc
<id> jentik,<sambas> ngkatek
<sambas> ngkatek,<id> jentik
<id> jentik-jentik,<sambas> ngkatek
<sambas> ngkatek,<id> jentik-jentik
<id> jentik jentik,<sambas> ngkatek
<sambas> ngkatek,<id> jentik jentik
<id> aneh,<sambas> endah
<sambas> endah,<id> aneh
<id> peti mati,<sambas> kerande
<sambas> kerande,<id> peti mati
<id> telur,<sambas> tallo'
<sambas> tallo',<id> telur
<id> telur,<sambas> tallok
<sambas> tallok,<id> telur
<id> bergelimpang,<sambas> gelempang
<sambas> gelempang,<id> bergelimpang
<id> terdampar,<sambas> tedampar
<sambas> tedampar,<id> terdampar
<id> terdampar,<sambas> belampar
<sambas> belampar,<id> terdampar
<id> banyak bertanya,<sambas> alek inyan
<sambas> alek inyan,<id> banyak bertanya
<id> orang miskin,<sambas> fakir
<sambas> fakir,<id> orang miskin
<id> orang miskin,<sambas> urang sontok
<sambas> urang sontok,<id> orang miskin
<id> jinak,<sambas> jinnak
<sambas> jinnak,<id> jinak
<id> gang,<sambas> lorong
<sambas> lorong,<id> gang
<id> runcing,<sambas> lancup
<sambas> lancup,<id> runcing
<id> bekut,<sambas> bakkut
<sambas> bakkut,<id> bekut
<id> celana,<sambas> katok
<sambas> katok,<id> celana
<id> bergurau,<sambas> pongah
<sambas> pongah,<id> bergurau
<id> gotong royong,<sambas> keraje bakti
<sambas> keraje bakti,<id> gotong royong
<id> sungguh-sungguh,<sambas> simanar
<sambas> simanar,<id> sungguh-sungguh
<id> dukun santet,<sambas> bomo
<sambas> bomo,<id> dukun santet
<id> berlipat,<sambas> belippat
<sambas> belippat,<id> berlipat
<id> situ,<sambas> sinnun
<sambas> sinnun,<id> situ
<id> limbah rumah tangga,<sambas> cempiring
<sambas> cempiring,<id> limbah rumah tangga
<id> bolal balik,<sambas> kulukilek
<sambas> kulukilek,<id> bolal balik
<id> halilintar,<sambas> panah lentar
<sambas> panah lentar,<id> halilintar
<id> terlalu rajin,<sambas> kerajingan
<sambas> kerajingan,<id> terlalu rajin
<id> mencuci pakaian disungai,<sambas> nappas
<sambas> nappas,<id> mencuci pakaian disungai
<id> cepirit,<sambas> tekincik
<sambas> tekincik,<id> cepirit
<id> tidak etis,<sambas> nda' tau adat
<sambas> nda' tau adat,<id> tidak etis
<id> tidak etis,<sambas> daan tau adat
<sambas> daan tau adat,<id> tidak etis
<id> tidak etis,<sambas> daan sopan
<sambas> daan sopan,<id> tidak etis
<id> kepingin,<sambas> carrat
<sambas> carrat,<id> kepingin
<id> mengeras,<sambas> najjing
<sambas> najjing,<id> mengeras
<id> tinggalin,<sambas> tinggalkan
<sambas> tinggalkan,<id> tinggalin
<id> libur sekolah,<sambas> parrai
<sambas> parrai,<id> libur sekolah
<id> libur sekolah,<sambas> libur
<sambas> libur,<id> libur sekolah
<id> tangga,<sambas> tanggak
<sambas> tanggak,<id> tangga
<id> kue bingke,<sambas> bingke
<sambas> bingke,<id> kue bingke
<id> kancing baju,<sambas> kancing
<sambas> kancing,<id> kancing baju
<id> teras,<sambas> teres
<sambas> teres,<id> teras
<id> sombong,<sambas> banga'
<sambas> banga',<id> sombong
<id> kemasukan setan,<sambas> kesarrongngan
<sambas> kesarrongngan,<id> kemasukan setan
<id> bersisir,<sambas> bekillas
<sambas> bekillas,<id> bersisir
<id> bergetar,<sambas> ngelantar
<sambas> ngelantar,<id> bergetar
<id> sepeda,<sambas> kerete
<sambas> kerete,<id> sepeda
<id> sepeda,<sambas> gerete
<sambas> gerete,<id> sepeda
<id> berhentikan,<sambas> rantikan
<sambas> rantikan,<id> berhentikan
<id> fasih,<sambas> nglekot
<sambas> nglekot,<id> fasih
<id> panen padi,<sambas> beranyi
<sambas> beranyi,<id> panen padi
<id> sedikit,<sambas> sikit
<sambas> sikit,<id> sedikit
<id> bau bangkai,<sambas> buntok
<sambas> buntok,<id> bau bangkai
<id> bau busuk,<sambas> buntok
<sambas> buntok,<id> bau busuk
<id> celana dalam,<sambas> kolor
<sambas> kolor,<id> celana dalam
<id> celana dalam,<sambas> celane dalam
<sambas> celane dalam,<id> celana dalam
<id> tabrak,<sambas> ranca'
<sambas> ranca',<id> tabrak
<id> tabrak,<sambas> melanggar
<sambas> melanggar,<id> tabrak
<id> mengiringi,<sambas> ngiringek
<sambas> ngiringek,<id> mengiringi
<id> mencoreng,<sambas> nyoreng
<sambas> nyoreng,<id> mencoreng
<id> pakaian kotor,<sambas> kumal
<sambas> kumal,<id> pakaian kotor
<id> pakaian kotor,<sambas> bakok
<sambas> bakok,<id> pakaian kotor
<id> beku,<sambas> bakok
<sambas> bakok,<id> beku
<id> sleding,<sambas> sengkak
<sambas> sengkak,<id> sleding
<id> berdebar,<sambas> bobar
<sambas> bobar,<id> berdebar
<id> berdebar,<sambas> bedabbar
<sambas> bedabbar,<id> berdebar
<id> ikan lais,<sambas> insubbong
<sambas> insubbong,<id> ikan lais
<id> benci,<sambas> banci'
<sambas> banci',<id> benci
<id> anggur,<sambas> anggor
<sambas> anggor,<id> anggur
<id> saya,<sambas> saye
<sambas> saye,<id> saya
<id> mencair,<sambas> meleleh
<sambas> meleleh,<id> mencair
<id> kates,<sambas> batte'
<sambas> batte',<id> kates
<id> debar,<sambas> dabbar
<sambas> dabbar,<id> debar
<id> setelah,<sambas> bakde
<sambas> bakde,<id> setelah
<id> gila,<sambas> gile
<sambas> gile,<id> gila
<id> gila,<sambas> ayap
<sambas> ayap,<id> gila
<id> jengger,<sambas> damber
<sambas> damber,<id> jengger
<id> lurus,<sambas> bujjor
<sambas> bujjor,<id> lurus
<id> piring,<sambas> pinggan
<sambas> pinggan,<id> piring
<id> piring,<sambas> piring
<sambas> piring,<id> piring
<id> mondar mandir,<sambas> pulang balik
<sambas> pulang balik,<id> mondar mandir
<id> bendera,<sambas> bendere
<sambas> bendere,<id> bendera
<id> bendera,<sambas> penere
<sambas> penere,<id> bendera
<id> bruntusan,<sambas> ngeruttu
<sambas> ngeruttu,<id> bruntusan
<id> kekang,<sambas> kakang
<sambas> kakang,<id> kekang
<id> antara,<sambas> antare
<sambas> antare,<id> antara
<id> terjatuh dari atas,<sambas> belabbik
<sambas> belabbik,<id> terjatuh dari atas
<id> seperti yang aku katakan,<sambas> iddi jiku
<sambas> iddi jiku,<id> seperti yang aku katakan
<id> seperti yang aku katakan,<sambas> macam yang kupadahkan
<sambas> macam yang kupadahkan,<id> seperti yang aku katakan
<id> seperti yang aku katakan,<sambas> macam yang kuomongkan
<sambas> macam yang kuomongkan,<id> seperti yang aku katakan
<id> banting,<sambas> ampok
<sambas> ampok,<id> banting
<id> remas,<sambas> gammer
<sambas> gammer,<id> remas
<id> jerih,<sambas> jarreh
<sambas> jarreh,<id> jerih
<id> sudah datang,<sambas> dah datang
<sambas> dah datang,<id> sudah datang
<id> sementara,<sambas> sementare
<sambas> sementare,<id> sementara
<id> uang,<sambas> duit
<sambas> duit,<id> uang
<id> kiraan,<sambas> kire-kire
<sambas> kire-kire,<id> kiraan
<id> tak,<sambas> daan
<sambas> daan,<id> tak
<id> bibi,<sambas> mak tua'
<sambas> mak tua',<id> bibi
<id> tante,<sambas> mak tua'
<sambas> mak tua',<id> tante
<id> sepuluh,<sambas> sepuloh
<sambas> sepuloh,<id> sepuluh
<id> jatuh,<sambas> luroh
<sambas> luroh,<id> jatuh
<id> jatuh,<sambas> belabik
<sambas> belabik,<id> jatuh
<id> menyelam,<sambas> nyallor
<sambas> nyallor,<id> menyelam
<id> menyelam,<sambas> nyallam
<sambas> nyallam,<id> menyelam
<id> rumah diatas air,<sambas> lanting
<sambas> lanting,<id> rumah diatas air
<id> terisi penuh,<sambas> bantat
<sambas> bantat,<id> terisi penuh
<id> terisi penuh,<sambas> terisek pannoh
<sambas> terisek pannoh,<id> terisi penuh
<id> bohong,<sambas> bulak
<sambas> bulak,<id> bohong
<id> penutup,<sambas> tudong
<sambas> tudong,<id> penutup
<id> lembab,<sambas> lambab
<sambas> lambab,<id> lembab
<id> malu,<sambas> supan
<sambas> supan,<id> malu
<id> nanti,<sambas> nante'
<sambas> nante',<id> nanti
<id> pergi,<sambas> mare
<sambas> mare,<id> pergi
<id> tidak kekal,<sambas> daan kakkal
<sambas> daan kakkal,<id> tidak kekal
<id> genit,<sambas> birah
<sambas> birah,<id> genit
<id> lari dengan cepat,<sambas> lancing
<sambas> lancing,<id> lari dengan cepat
<id> menolong,<sambas> nullong
<sambas> nullong,<id> menolong
<id> bubur pedas,<sambas> bubor paddas
<sambas> bubor paddas,<id> bubur pedas
<id> mata terfokus,<sambas> conom
<sambas> conom,<id> mata terfokus
<id> mandi disungai,<sambas> ngabboh
<sambas> ngabboh,<id> mandi disungai
<id> pinter,<sambas> pintar
<sambas> pintar,<id> pinter
<id> mengajar,<sambas> ngajar
<sambas> ngajar,<id> mengajar
<id> selesai,<sambas> lakka'
<sambas> lakka',<id> selesai
<id> jorok,<sambas> cerobo'
<sambas> cerobo',<id> jorok
<id> jorok,<sambas> cerobok
<sambas> cerobok,<id> jorok
<id> ompong,<sambas> rongak
<sambas> rongak,<id> ompong
<id> bagaimana,<sambas> bagaimane
<sambas> bagaimane,<id> bagaimana
<id> manfaat,<sambas> manfaat
<sambas> manfaat,<id> manfaat
<id> manfaat,<sambas> faedah
<sambas> faedah,<id> manfaat
<id> berantem,<sambas> kelai
<sambas> kelai,<id> berantem
<id> diri,<sambas> dire'
<sambas> dire',<id> diri
<id> pincang,<sambas> jengkat
<sambas> jengkat,<id> pincang
<id> buntung,<sambas> kutong
<sambas> kutong,<id> buntung
<id> jajan diluar,<sambas> ngenam
<sambas> ngenam,<id> jajan diluar
<id> sumur,<sambas> tilage
<sambas> tilage,<id> sumur
<id> sumur,<sambas> telage
<sambas> telage,<id> sumur
<id> duduk,<sambas> dudok
<sambas> dudok,<id> duduk
<id> asah,<sambas> ngansah
<sambas> ngansah,<id> asah
<id> hama,<sambas> ama'
<sambas> ama',<id> hama
<id> menghayal,<sambas> mereke
<sambas> mereke,<id> menghayal
<id> tawari,<sambas> tampahe'
<sambas> tampahe',<id> tawari
<id> tawari,<sambas> tampahkan
<sambas> tampahkan,<id> tawari
<id> tawari,<sambas> tawarkan
<sambas> tawarkan,<id> tawari
<id> tawari,<sambas> tawarek
<sambas> tawarek,<id> tawari
<id> ambilkan,<sambas> ambekkan
<sambas> ambekkan,<id> ambilkan
<id> bubu,<sambas> bubbu
<sambas> bubbu,<id> bubu
<id> kadaluarsa,<sambas> ubas
<sambas> ubas,<id> kadaluarsa
<id> kadaluarsa,<sambas> basi
<sambas> basi,<id> kadaluarsa
<id> ngobrol,<sambas> ngobrol
<sambas> ngobrol,<id> ngobrol
<id> ngobrol,<sambas> bekelah
<sambas> bekelah,<id> ngobrol
<id> ngobrol,<sambas> bekesah
<sambas> bekesah,<id> ngobrol
<id> daun sayur khas untuk bubur pedas,<sambas> daun kasum
<sambas> daun kasum,<id> daun sayur khas untuk bubur pedas
<id> disebelah,<sambas> ancong
<sambas> ancong,<id> disebelah
<id> disebelah,<sambas> antol
<sambas> antol,<id> disebelah
<id> disebelah,<sambas> didakat
<sambas> didakat,<id> disebelah
<id> kadang kadang,<sambas> biasenye
<sambas> biasenye,<id> kadang kadang
<id> ragu-ragu,<sambas> ragu
<sambas> ragu,<id> ragu-ragu
<id> ragu-ragu,<sambas> gamam
<sambas> gamam,<id> ragu-ragu
<id> usir,<sambas> layyah
<sambas> layyah,<id> usir
<id> usir,<sambas> user
<sambas> user,<id> usir
<id> tidak ada,<sambas> ndak ade
<sambas> ndak ade,<id> tidak ada
<id> tidak ada,<sambas> nda' ade
<sambas> nda' ade,<id> tidak ada
<id> panci,<sambas> apan
<sambas> apan,<id> panci
<id> sayur,<sambas> sayok
<sambas> sayok,<id> sayur
<id> terlambat,<sambas> telambat
<sambas> telambat,<id> terlambat
<id> menangkap ikan pakai tangan kosong,<sambas> ngammal
<sambas> ngammal,<id> menangkap ikan pakai tangan kosong
<id> laki,<sambas> cowok
<sambas> cowok,<id> laki
<id> bongkok,<sambas> bungkok
<sambas> bungkok,<id> bongkok
<id> cemberut,<sambas> masam
<sambas> masam,<id> cemberut
<id> menggoyang keras,<sambas> ngincah
<sambas> ngincah,<id> menggoyang keras
<id> sarapan pagi,<sambas> nyaddal
<sambas> nyaddal,<id> sarapan pagi
<id> sarapan pagi,<sambas> sarapan pagi
<sambas> sarapan pagi,<id> sarapan pagi
<id> sarapan pagi,<sambas> makan pagi
<sambas> makan pagi,<id> sarapan pagi
<id> banyak,<sambas> banyak
<sambas> banyak,<id> banyak
<id> banyak,<sambas> tebayak
<sambas> tebayak,<id> banyak
<id> tidak mau,<sambas> besumpik
<sambas> besumpik,<id> tidak mau
<id> mengkilat,<sambas> mlanning
<sambas> mlanning,<id> mengkilat
<id> mengkilat,<sambas> melanning
<sambas> melanning,<id> mengkilat
<id> megap-megap,<sambas> napas baong
<sambas> napas baong,<id> megap-megap
<id> berlebihan,<sambas> sallap
<sambas> sallap,<id> berlebihan
<id> berlebihan,<sambas> belabehan
<sambas> belabehan,<id> berlebihan
<id> wewangian,<sambas> minyak bau
<sambas> minyak bau,<id> wewangian
<id> bagian ujung/luar rumah biasa digunakan untuk mencuci piring,<sambas> pelantaran
<sambas> pelantaran,<id> bagian ujung/luar rumah biasa digunakan untuk mencuci piring
<id> membekas,<sambas> cangkit
<sambas> cangkit,<id> membekas
<id> melamun,<sambas> temanong
<sambas> temanong,<id> melamun
<id> sayuran pakis,<sambas> midding
<sambas> midding,<id> sayuran pakis
<id> nggak,<sambas> daan
<sambas> daan,<id> nggak
<id> nggak,<sambas> indak
<sambas> indak,<id> nggak
<id> celana dalam,<sambas> katok sampak
<sambas> katok sampak,<id> celana dalam
<id> hancur,<sambas> ancai
<sambas> ancai,<id> hancur
<id> hancur,<sambas> ambor
<sambas> ambor,<id> hancur
<id> dahulu kala,<sambas> ge' dolo'
<sambas> ge' dolo',<id> dahulu kala
<id> dahulu kala,<sambas> jaman dolok
<sambas> jaman dolok,<id> dahulu kala
<id> sumbat,<sambas> kapat
<sambas> kapat,<id> sumbat
<id> amoi,<sambas> ammoi
<sambas> ammoi,<id> amoi
<id> sumpah,<sambas> nyan
<sambas> nyan,<id> sumpah
<id> biarlah,<sambas> alekandah
<sambas> alekandah,<id> biarlah
<id> menghirup,<sambas> ngirrup
<sambas> ngirrup,<id> menghirup
<id> lelah,<sambas> takkar
<sambas> takkar,<id> lelah
<id> marah campur malu,<sambas> kasang
<sambas> kasang,<id> marah campur malu
<id> kakus,<sambas> jamban
<sambas> jamban,<id> kakus
<id> menggoda,<sambas> ngurat
<sambas> ngurat,<id> menggoda
<id> mendekati,<sambas> nguratek
<sambas> nguratek,<id> mendekati
<id> begadang,<sambas> ngambun
<sambas> ngambun,<id> begadang
<id> cair,<sambas> encer
<sambas> encer,<id> cair
<id> senda gurau,<sambas> bepongah
<sambas> bepongah,<id> senda gurau
<id> setelah,<sambas> laka'
<sambas> laka',<id> setelah
<id> merah menyala,<sambas> barrau
<sambas> barrau,<id> merah menyala
<id> letih,<sambas> kappak
<sambas> kappak,<id> letih
<id> ketawa,<sambas> betawak
<sambas> betawak,<id> ketawa
<id> berjudul,<sambas> bejudul
<sambas> bejudul,<id> berjudul
<id> umpama,<sambas> ibarat
<sambas> ibarat,<id> umpama
<id> terbenam,<sambas> tibannam
<sambas> tibannam,<id> terbenam
<id> banyak hamanya,<sambas> ama'an
<sambas> ama'an,<id> banyak hamanya
<id> waktu itu,<sambas> waktuye
<sambas> waktuye,<id> waktu itu
<id> hirup,<sambas> irrup
<sambas> irrup,<id> hirup
<id> kepanasan,<sambas> berau
<sambas> berau,<id> kepanasan
<id> kuali,<sambas> kawah
<sambas> kawah,<id> kuali
<id> terbesar,<sambas> paling bassar
<sambas> paling bassar,<id> terbesar
<id> tikar pandan,<sambas> belungkor
<sambas> belungkor,<id> tikar pandan
<id> serakah,<sambas> kamo'
<sambas> kamo',<id> serakah
<id> ekor,<sambas> ekok
<sambas> ekok,<id> ekor
<id> lumpur,<sambas> lumpor
<sambas> lumpor,<id> lumpur
<id> gema,<sambas> gaong
<sambas> gaong,<id> gema
<id> simpan,<sambas> taroh
<sambas> taroh,<id> simpan
<id> simpan,<sambas> latakkan
<sambas> latakkan,<id> simpan
<id> cengkeh,<sambas> cangkeh
<sambas> cangkeh,<id> cengkeh
<id> milik,<sambas> nok
<sambas> nok,<id> milik
<id> kasian,<sambas> saggal
<sambas> saggal,<id> kasian
<id> kasian,<sambas> sogol
<sambas> sogol,<id> kasian
<id> membajak,<sambas> bajak
<sambas> bajak,<id> membajak
<id> melongo,<sambas> melamum
<sambas> melamum,<id> melongo
<id> melongo,<sambas> inconom
<sambas> inconom,<id> melongo
<id> jejaka,<sambas> bujang
<sambas> bujang,<id> jejaka
<id> tentu,<sambas> tantu
<sambas> tantu,<id> tentu
<id> menyentuh,<sambas> jappek
<sambas> jappek,<id> menyentuh
<id> jamah,<sambas> jappek
<sambas> jappek,<id> jamah
<id> hayal,<sambas> ayal
<sambas> ayal,<id> hayal
<id> sumpah saya cinta sama anda,<sambas> busong dih aku cinte dengan kau
<sambas> busong dih aku cinte dengan kau,<id> sumpah saya cinta sama anda
<id> main kasar,<sambas> maing kasar
<sambas> maing kasar,<id> main kasar
<id> murah,<sambas> murrah
<sambas> murrah,<id> murah
<id> terbentur,<sambas> terantok
<sambas> terantok,<id> terbentur
<id> hemat,<sambas> emat
<sambas> emat,<id> hemat
<id> endap,<sambas> ngandap
<sambas> ngandap,<id> endap
<id> nyesek,<sambas> nyasak
<sambas> nyasak,<id> nyesek
<id> Habis-habisan,<sambas> berabis
<sambas> berabis,<id> Habis-habisan
<id> cempedak,<sambas> temaddak
<sambas> temaddak,<id> cempedak
<id> sakit pinggang,<sambas> merasok
<sambas> merasok,<id> sakit pinggang
<id> seperti itu,<sambas> geye
<sambas> geye,<id> seperti itu
<id> seperti itu,<sambas> ha geye
<sambas> ha geye,<id> seperti itu
<id> ladang,<sambas> ume
<sambas> ume,<id> ladang
<id> gendang,<sambas> gandang
<sambas> gandang,<id> gendang
<id> membalas,<sambas> balas
<sambas> balas,<id> membalas
<id> menggigil kedinginan,<sambas> ngelaggasan
<sambas> ngelaggasan,<id> menggigil kedinginan
<id> mengapa,<sambas> jope
<sambas> jope,<id> mengapa
<id> mengapa,<sambas> ngape
<sambas> ngape,<id> mengapa
<id> baring,<sambas> guring
<sambas> guring,<id> baring
<id> kesana kemari,<sambas> kullu killek
<sambas> kullu killek,<id> kesana kemari
<id> memasak nasi,<sambas> berapi
<sambas> berapi,<id> memasak nasi
<id> basah kuyup,<sambas> basak baoh
<sambas> basak baoh,<id> basah kuyup
<id> capung,<sambas> incibbi'
<sambas> incibbi',<id> capung
<id> tempat menjemur,<sambas> langkaw
<sambas> langkaw,<id> tempat menjemur
<id> cerita,<sambas> cerite
<sambas> cerite,<id> cerita
<id> celana,<sambas> selawar
<sambas> selawar,<id> celana
<id> celana,<sambas> seluar
<sambas> seluar,<id> celana
<id> suara lantang,<sambas> bedancang
<sambas> bedancang,<id> suara lantang
<id> mata ku perih,<sambas> mate ku padeh
<sambas> mate ku padeh,<id> mata ku perih
<id> tahu diri,<sambas> ngaddar
<sambas> ngaddar,<id> tahu diri
<id> tahu diri,<sambas> tau direk
<sambas> tau direk,<id> tahu diri
<id> mengapa begitu,<sambas> tang geye
<sambas> tang geye,<id> mengapa begitu
<id> mengapa begitu,<sambas> ngape tang geye
<sambas> ngape tang geye,<id> mengapa begitu
<id> sendal,<sambas> alas
<sambas> alas,<id> sendal
<id> sendal,<sambas> capal
<sambas> capal,<id> sendal
<id> perut bawah,<sambas> bane'an
<sambas> bane'an,<id> perut bawah
<id> keluar sedikit-sedikit,<sambas> mincat
<sambas> mincat,<id> keluar sedikit-sedikit
<id> hati,<sambas> ati
<sambas> ati,<id> hati
<id> sakit keras,<sambas> nguatte'
<sambas> nguatte',<id> sakit keras
<id> turun ke bawah karena tidak lagi kencang,<sambas> lamber
<sambas> lamber,<id> turun ke bawah karena tidak lagi kencang
<id> anak hasil kawin campur,<sambas> tongpan
<sambas> tongpan,<id> anak hasil kawin campur
<id> hingar-bingar,<sambas> ribut
<sambas> ribut,<id> hingar-bingar
<id> haram,<sambas> haram
<sambas> haram,<id> haram
<id> berburu pakai ketapel,<sambas> nappel
<sambas> nappel,<id> berburu pakai ketapel
<id> belimbing wuluh,<sambas> gerinnang
<sambas> gerinnang,<id> belimbing wuluh
<id> ma,<sambas> ma'
<sambas> ma',<id> ma
<id> kata,<sambas> kate
<sambas> kate,<id> kata
<id> renyah,<sambas> rangup
<sambas> rangup,<id> renyah
<id> homo,<sambas> rodong
<sambas> rodong,<id> homo
<id> gay,<sambas> rodong
<sambas> rodong,<id> gay
<id> anu,<sambas> ano'
<sambas> ano',<id> anu
<id> apabila,<sambas> apebile
<sambas> apebile,<id> apabila
<id> jamah,<sambas> cappe'
<sambas> cappe',<id> jamah
<id> sentuh,<sambas> cappe'
<sambas> cappe',<id> sentuh
<id> bergoyang,<sambas> bejoget
<sambas> bejoget,<id> bergoyang
<id> pada zaman dahulu,<sambas> gek marek
<sambas> gek marek,<id> pada zaman dahulu
<id> nyaman,<sambas> nyaman
<sambas> nyaman,<id> nyaman
<id> toreh,<sambas> nangkal
<sambas> nangkal,<id> toreh
<id> emosian,<sambas> pemanas
<sambas> pemanas,<id> emosian
<id> lembut,<sambas> lambut
<sambas> lambut,<id> lembut
<id> mengejar,<sambas> ngalau
<sambas> ngalau,<id> mengejar
<id> gayung,<sambas> gayong
<sambas> gayong,<id> gayung
<id> gayung,<sambas> centong
<sambas> centong,<id> gayung
<id> keram,<sambas> kebiawakkan
<sambas> kebiawakkan,<id> keram
<id> penis,<sambas> butoh
<sambas> butoh,<id> penis
<id> penis,<sambas> paler
<sambas> paler,<id> penis
<id> berdiri lurus,<sambas> ticaggat
<sambas> ticaggat,<id> berdiri lurus
<id> begitu,<sambas> geye
<sambas> geye,<id> begitu
<id> jemput,<sambas> singgahek
<sambas> singgahek,<id> jemput
<id> mendesing,<sambas> bedassing
<sambas> bedassing,<id> mendesing
<id> sangat ramai,<sambas> berasak
<sambas> berasak,<id> sangat ramai
<id> rugi,<sambas> takkor
<sambas> takkor,<id> rugi
<id> tidak bisa diam seperti orang kesetanan,<sambas> ngelappar
<sambas> ngelappar,<id> tidak bisa diam seperti orang kesetanan
<id> liur,<sambas> lior
<sambas> lior,<id> liur
<id> alas,<sambas> alas
<sambas> alas,<id> alas
<id> minta tempo,<sambas> betanggoh
<sambas> betanggoh,<id> minta tempo
<id> menuntut,<sambas> nuntut
<sambas> nuntut,<id> menuntut
<id> berhitung,<sambas> bereken
<sambas> bereken,<id> berhitung
<id> berhitung,<sambas> beritong
<sambas> beritong,<id> berhitung
<id> anak haram,<sambas> anak ampang
<sambas> anak ampang,<id> anak haram
<id> anak haram,<sambas> anak kampang
<sambas> anak kampang,<id> anak haram
<id> anak haram,<sambas> anak hampang
<sambas> anak hampang,<id> anak haram
<id> cukup,<sambas> cukup
<sambas> cukup,<id> cukup
<id> kelelepan,<sambas> tilallap
<sambas> tilallap,<id> kelelepan
<id> kelelepan,<sambas> tikallap
<sambas> tikallap,<id> kelelepan
<id> gondok,<sambas> bangngo'
<sambas> bangngo',<id> gondok
<id> gondok,<sambas> bangok
<sambas> bangok,<id> gondok
<id> tingkah,<sambas> kerenah
<sambas> kerenah,<id> tingkah
<id> tegak,<sambas> laggat
<sambas> laggat,<id> tegak
<id> hari,<sambas> ari
<sambas> ari,<id> hari
<id> pengadu,<sambas> penummang
<sambas> penummang,<id> pengadu
<id> menahan amarah,<sambas> ngerigitan
<sambas> ngerigitan,<id> menahan amarah
<id> bau busuk,<sambas> bunto'
<sambas> bunto',<id> bau busuk
<id> busuk,<sambas> bunto'
<sambas> bunto',<id> busuk
<id> busuk,<sambas> buntok
<sambas> buntok,<id> busuk
